turn_onset,turn_end,turn_duration,speaker_name
0.655,6.342,5.687,SPEAKER_00
6.511,6.865,0.354,SPEAKER_01
6.865,7.084,0.219,SPEAKER_00
8.266,9.616,1.350,SPEAKER_00
9.937,11.304,1.367,SPEAKER_01
11.438,13.564,2.126,SPEAKER_00
14.020,17.024,3.004,SPEAKER_01
17.024,20.129,3.105,SPEAKER_00
20.652,22.896,2.244,SPEAKER_00
23.420,30.626,7.206,SPEAKER_01
30.625,30.642,0.017,SPEAKER_00
32.735,36.532,3.797,SPEAKER_00
37.274,42.691,5.417,SPEAKER_00
43.450,43.787,0.337,SPEAKER_00
45.138,47.72,2.582,SPEAKER_00
48.091,49.053,0.962,SPEAKER_00
49.542,50.605,1.063,SPEAKER_00
51.061,55.246,4.185,SPEAKER_00
55.702,55.736,0.034,SPEAKER_01
55.735,57.692,1.957,SPEAKER_00
58.452,59.262,0.810,SPEAKER_00
60.224,62.789,2.565,SPEAKER_00
63.025,63.717,0.692,SPEAKER_00
63.717,63.801,0.084,SPEAKER_01
63.802,64.123,0.321,SPEAKER_00
63.835,64.088,0.253,SPEAKER_01
64.122,64.206,0.084,SPEAKER_01
64.477,67.211,2.734,SPEAKER_00
67.936,69.32,1.384,SPEAKER_00
70.653,71.564,0.911,SPEAKER_00
72.053,73.977,1.924,SPEAKER_00
73.977,74.044,0.067,SPEAKER_01
74.045,74.163,0.118,SPEAKER_00
74.163,75.057,0.894,SPEAKER_01
75.277,75.294,0.017,SPEAKER_00
75.293,76.17,0.877,SPEAKER_01
76.525,77.166,0.641,SPEAKER_00
78.280,80.035,1.755,SPEAKER_00
80.137,81.15,1.013,SPEAKER_00
81.250,82.414,1.164,SPEAKER_00
82.651,82.82,0.169,SPEAKER_00
82.820,82.837,0.017,SPEAKER_01
82.837,82.921,0.084,SPEAKER_00
83.140,89.502,6.362,SPEAKER_00
89.502,89.806,0.304,SPEAKER_01
89.806,89.84,0.034,SPEAKER_00
90.413,93.906,3.493,SPEAKER_00
95.392,98.193,2.801,SPEAKER_00
99.070,103.711,4.641,SPEAKER_00
103.998,104.319,0.321,SPEAKER_00
105.854,109.398,3.544,SPEAKER_00
110.107,116.351,6.244,SPEAKER_00
117.734,120.957,3.223,SPEAKER_00
121.160,121.447,0.287,SPEAKER_00
121.447,121.464,0.017,SPEAKER_01
122.054,122.088,0.034,SPEAKER_00
122.088,122.375,0.287,SPEAKER_01
122.375,122.442,0.067,SPEAKER_00
122.442,122.509,0.067,SPEAKER_01
123.134,125.227,2.093,SPEAKER_00
125.817,131.723,5.906,SPEAKER_01
133.478,136.313,2.835,SPEAKER_00
138.237,143.502,5.265,SPEAKER_00
144.076,147.957,3.881,SPEAKER_00
148.328,148.902,0.574,SPEAKER_00
149.189,149.29,0.101,SPEAKER_00
150.252,151.4,1.148,SPEAKER_00
151.552,152.969,1.417,SPEAKER_00
153.323,155.922,2.599,SPEAKER_00
156.547,160.074,3.527,SPEAKER_00
160.512,164.798,4.286,SPEAKER_00
165.355,170.198,4.843,SPEAKER_00
170.738,174.889,4.151,SPEAKER_00
175.784,177.337,1.553,SPEAKER_00
177.995,181.218,3.223,SPEAKER_01
181.825,184.778,2.953,SPEAKER_01
185.808,186.939,1.131,SPEAKER_01
187.462,190.145,2.683,SPEAKER_01
190.820,194.617,3.797,SPEAKER_01
196.068,197.249,1.181,SPEAKER_01
199.156,200.202,1.046,SPEAKER_01
201.805,206.378,4.573,SPEAKER_01
206.902,207.881,0.979,SPEAKER_01
210.125,212.673,2.548,SPEAKER_00
213.398,213.87,0.472,SPEAKER_01
213.871,214.074,0.203,SPEAKER_00
214.310,215.39,1.080,SPEAKER_00
216.740,216.959,0.219,SPEAKER_01
216.959,217.026,0.067,SPEAKER_00
